id,product_id,size,price,description
0,0,3-4 Years,£14.99,"Two button front wais
Wrapover skirt front
Knife pleats on back and sides
Plain front"
1,0,5-6 Years,£14.99,"Two button front wais
Wrapover skirt front
Knife pleats on back and sides
Plain front"
2,0,7-8 Years,£14.99,"Two button front wais
Wrapover skirt front
Knife pleats on back and sides
Plain front"
3,0,9-10 Years,£14.99,"Two button front wais
Wrapover skirt front
Knife pleats on back and sides
Plain front"
4,0,11-12 years,£14.99,"Two button front wais
Wrapover skirt front
Knife pleats on back and sides
Plain front"
5,1,24 Chest (4-5 Years),£9.95,
6,1,26 (5-6 years),£9.95,
7,1,28 (6-7 Years),£9.95,
8,1,36 (13 Years),£9.95,
9,1,30 (7-8 Years),£9.95,
10,1,32 (9-10 Years),£9.95,
11,1,34 (11-12 Years),£9.95,
12,1,Light Navy,£9.95,
13,3,24 (4-5 Years),£11.95,
14,3,26 (5-6 years),£11.95,
15,3,28 (6-7 Years),£11.95,
16,3,36 (13 Years),£11.95,
17,3,30 (7-8 Years),£11.95,
18,3,32 (9-10 Years),£11.95,
19,3,34 (11-12 Years),£11.95,
20,3,Light Navy,£11.95,
21,4,24 Chest (4-5 Years),£7.95,
22,4,26 Chest (5-6 Years),£7.95,
23,4,28 Chest (6-7 Years),£7.95,
24,4,30 Chest (7-8 Years),£7.95,
25,4,32 Chest (9-10 Years),£7.95,
26,4,34 Chest (11-12 Years),£7.95,
27,4,36 Chest (13 Years),£7.95,
28,4,White,£7.95,
